Country|SourceCustomerType|SourceCustomerName|SourceCustomerCode|SourceCustomerIsDirect|SourceCustomerDiageoSAPCode|WarehouseName|WarehouseCode|OutletCode|OutletDiageoEdgeCode|OutletName|OutletAddress|City|Region|LocalSegment1|LocalSegment2|LocalSegment3|LocalSegment4|OutletChannel|OutletStatus|ProductCode|ProductDiageoSAPCode|ProductName|ProductVolume|PackagingConfiguration|PackType|Date|Stock Type|StockQuantity|UnitOfMeasure|VolumeBottle|VolumeActualCase|VolumeLitre|VolumeEquivalentUnits|TotalAmount|CurrencyCode
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|119203|""|CROWN ROYAL BLACK CHERRY WHISKY SOUR 375|""|""|""|2026-02-28|OnHand|445|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|119203|""|CROWN ROYAL BLACK CHERRY WHISKY SOUR 375|""|""|""|2026-02-28|OnOrder|260|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121645|""|CROWN ROYAL BLACKBERRY WHISKY LEMONADE 1420|""|""|""|2026-02-28|OnHand|978|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121646|""|CAPTAIN MORGAN GUAVA MOJITO 1420|""|""|""|2026-02-28|OnHand|1747|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121647|""|CROWN ROYAL BLACKBERRY WHISKY LEMONADE 473|""|""|""|2026-02-28|OnHand|491|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121649|""|SMIRNOFF RASPBERRY MULE VODKA COCKTAIL 1420|""|""|""|2026-02-28|OnHand|617|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121650|""|SMIRNOFF PASSION FRUIT VODKA COCKTAIL 1420|""|""|""|2026-02-28|OnHand|746|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121936|""|SMIRNOFF COCKTAIL COLLECTION 4260|""|""|""|2026-02-28|OnHand|1563|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|121953|""|DON JULIO REPOSADO 1750|""|""|""|2026-02-28|OnHand|767|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|122834|""|RON CARIOCA BLANCO PET 1140|""|""|""|2026-02-28|OnHand|11|""|""|""|""|""||CAD
